Object A,Object B,Miss Distance (km),MOID (km),TCA (UTC),Pc Alfano,Pc Monte Carlo,Risk
CYGNUS NG-24,PROGRESS MS-33,0.0,0.0,2026-04-26 12:45:59.435,1.000e+00,0.000e+00,HIGH
STARLINK-37109,STARLINK-37171,0.0238,0.1259,2026-04-30 19:10:59.435,5.641e-03,0.000e+00,HIGH
STARLINK-37145,STARLINK-37245,0.0544,0.0879,2026-04-29 10:53:59.435,5.638e-03,0.000e+00,HIGH
STARLINK-36294,STARLINK-36285,0.253,0.259,2026-04-28 10:10:59.435,5.552e-03,0.000e+00,HIGH
STARLINK-37035,STARLINK-37077,0.3228,0.3405,2026-04-29 12:19:59.435,5.497e-03,0.000e+00,HIGH
OBJECT BA,GARAI-B,0.3611,0.4843,2026-04-27 11:30:59.435,5.461e-03,0.000e+00,HIGH
OBJECT AU,OBJECT AS,0.3669,0.6214,2026-05-02 16:42:59.435,5.455e-03,0.000e+00,HIGH
STARLINK-36238,STARLINK-37114,0.4767,0.5181,2026-04-30 20:31:59.435,5.330e-03,0.000e+00,HIGH
OBJECT BV,OBJECT BN,0.5158,0.5163,2026-05-02 07:16:59.435,5.279e-03,0.000e+00,HIGH
OBJECT AW,T.MICROSAT-2,0.5532,0.6913,2026-05-02 02:29:59.435,5.226e-03,0.000e+00,HIGH
OBJECT BD,OBJECT AD,0.6517,1.1551,2026-04-29 14:12:59.435,5.074e-03,0.000e+00,HIGH
OBJECT BF,OBJECT AX,0.7047,0.751,2026-04-29 03:41:59.435,4.983e-03,0.000e+00,HIGH
STARLINK-37057,STARLINK-37053,0.745,0.7571,2026-05-03 10:33:59.435,4.911e-03,0.000e+00,HIGH
STARLINK-37204,STARLINK-36983,0.7469,0.7469,2026-04-30 14:35:59.435,4.907e-03,0.000e+00,HIGH
STARLINK-37310,STARLINK-37122,0.7532,0.7592,2026-05-01 03:44:59.435,4.896e-03,0.000e+00,HIGH
KUIPER-00231,KUIPER-00194,0.7742,0.8059,2026-04-30 05:22:59.435,4.857e-03,0.000e+00,HIGH
GARAI-B,OBJECT AN,0.806,0.8089,2026-04-26 18:36:59.435,4.796e-03,0.000e+00,HIGH
STARLINK-36308,STARLINK-37326,0.8616,0.8616,2026-05-02 09:35:59.435,4.686e-03,0.000e+00,HIGH
STARLINK-37217,STARLINK-37204,1.0212,1.1128,2026-05-03 08:01:59.435,4.347e-03,0.000e+00,HIGH
STARLINK-37298,STARLINK-37302,1.0773,1.0994,2026-05-01 10:02:59.435,4.221e-03,0.000e+00,HIGH
STARLINK-37169,STARLINK-37199,1.1086,4.935,2026-04-30 01:41:59.435,4.149e-03,0.000e+00,HIGH
STARLINK-36669,STARLINK-37221,1.1889,1.1889,2026-05-03 03:15:59.435,3.962e-03,0.000e+00,HIGH
STARLINK-37177,STARLINK-37250,1.2421,1.2774,2026-05-01 14:13:59.435,3.836e-03,0.000e+00,HIGH
STARLINK-37146,STARLINK-37288,1.3289,1.3451,2026-04-28 23:27:59.435,3.628e-03,0.000e+00,HIGH
STARLINK-37012,STARLINK-35854,1.4291,1.4325,2026-04-30 15:16:59.435,3.386e-03,0.000e+00,HIGH
STARLINK-36347,STARLINK-36857,1.4362,1.4821,2026-05-01 09:48:59.435,3.369e-03,0.000e+00,HIGH
